city,country,latitude,longitude
Kájov,Czech Republic, 48.8117849,14.2626645
Neiba,Dominican Republic,18.9351075,-70.405585
Wierzchowo,Poland,53.46,16.101111
Olival,Portugal,39.7075592,-8.6041746
Būlaevo,Kazakhstan,54.9066121,70.4574593
Dongjingcheng,China,44.026332,125.88298
Penisihan,Indonesia,-7.5882979,109.1553021
Puerto Quijarro,Bolivia,-17.80257,-57.776161
Castanhal,Brazil,-1.3050431,-47.9340343
Tuodian,China,24.210761,102.61616
Mont-Royal,Canada,45.5080397,-73.564543
Belén Gualcho,Honduras,14.4801593,-88.7908717
Al Maţarīyah,Egypt,30.1253988,31.3181252
Póvoa,Portugal,40.3972809,-8.2549322
Schengen,Luxembourg,49.4709886,6.3640878
Kiyevskoye,Russia,43.7071168,44.643763
Luoxi,China,23.043061,113.298675
Qincheng,China,40.232604,116.410742
Thala,Tunisia,35.5732078,8.6683097
Masantol,Philippines,14.880403,120.7063932
Ystad,Sweden,55.4312324,13.8557599
Viligili,Maldives,0.7573413,73.434227
Pluak Daeng,Thailand,12.9707642,101.2163774
Port Moody,Canada,49.2849107,-122.8677562
Jambean,Indonesia,-7.9299269,111.9671537
Shadili,China,30.174004,122.039055
Porto de Mós,Portugal,39.6022749,-8.8165669
Blon’,Belarus,53.5324492,28.187043
Tonggakjati,Indonesia,-6.2404416,107.281417
Mogi Guaçu,Brazil,-22.363303,-46.9343777
Cijambe,Indonesia,-6.6242048,107.775465
Cascavel,Brazil,-24.9288708,-53.4392535
Sedayu,Indonesia,-7.832843,110.2474787
Langgapayung,Indonesia,1.6699249,99.9688636
Stari Grad,Croatia,43.1839958,16.5992505
Tamel,Portugal,41.551649,-8.5906434
Huili Chengguanzhen,China,26.662155,102.242653
Łyse,Poland,53.4049709,21.5480129
Al Ḩawāmidīyah,Egypt,29.9,31.25
Wuluhan,Indonesia,-8.3654775,113.5371368
Longcheng,China,41.576749,120.413376
Shanshi,China,37.2425649,111.8568586
La Soledad,Mexico,19.7267712,-101.1850967
Port-Gentil,Gabon,-0.7351026,8.7591311
Citeureup,Indonesia,-6.4933318,106.8809319
Kansas City,United States,39.0345609,-94.5521274
Aberdeen,United Kingdom,56.968436,-2.2508745
Putukrejo,Indonesia,-7.6375159,111.9298922
Genève,Switzerland,46.2214936,6.1238396
Saharna,Moldova,47.6949791,28.9654659
Jayawangi,Indonesia,-6.8333257,106.6971352
Ishikawa,Japan,37.6703123,140.6062909
Amherst,Canada,45.8299686,-64.2092372
Alegrete,Brazil,-29.7844393,-55.7980283
Damasak,Nigeria,13.0996105,12.5113296
Palcamayo,Peru,-11.2957096,-75.7727595
San Marcos,Honduras,14.4103464,-88.9521595
Harstad,Norway,68.787629,16.5529921
Miastko,Poland,53.9858812,16.9811758
Ambohitrolomahitsy,Madagascar,-18.7,47.683333
Semypolky,Ukraine,50.7249071,30.9358078
Neryungri,Russia,56.9115826,124.9032167
Dadong’ao,China,34.480174,108.43041
Beiyang,China,23.028301,115.84573
Jengglungharjo,Indonesia,-8.2840556,111.910516
Bardo,Poland,50.50505,16.74043
Malibong East,Philippines,14.8561068,120.9396927
Dalian,China,38.914003,121.614682
Tanxi,China,29.696108,118.315329
Los Tangos,Honduras,15.1398293,-88.6714295
Jiangna,China,22.781631,108.273158
Harjamukti,Indonesia,-6.7533085,108.5522531
Bankim,Cameroon,6.0849674,11.4878714
Barong,Philippines,18.1166668,120.6999969
Bangbayang,Indonesia,-6.8734228,107.074614
Colombia,Cuba,20.9874938,-77.4185584
Trinidad,Cuba,21.7960343,-79.9808143
Urus-Martan,Russia,43.1298714,45.5357156
Bairros,Portugal,41.3427327,-8.5959297
Qarqaraly,Kazakhstan,49.4129509,75.4772753
Chornukhyne,Ukraine,48.3238703,38.5208692
Shchelkovo,Russia,55.9240189,38.0011402
Zhouyuan,China,37.355469,120.434071
Bouabout,Morocco,31.26886,-9.183608
Shen’ao,China,27.85512,120.6604815
Tawa,China,37.507694,101.414709
Černovice,Czech Republic,49.1744199,16.6394119
Haifa,Israel,32.7940463,34.989571
Lisiy Nos,Russia,60.0128251,30.0046156
Mugango,Tanzania,-1.68333,33.7
Zhinvali,Georgia,42.1102695,44.7710122
Lewodoli,Indonesia,-8.3488,123.6542
Genisséa,Greece,41.0610542,24.9613827
Oslo,Norway,59.9546982,10.7105679
Ostrožská Lhota,Czech Republic,48.9763601,17.4746428
København,Denmark,55.6649287,12.5504728
Kampong Chhnang,Cambodia,12.1392352,104.5655273
Dallas,United States,32.765421,-96.7413706
Ludvika,Sweden,60.1387829,14.3822323
Seattle,United States,47.4494702,-122.307217
Zhendong,China,34.137139,120.227624
Arcachon,France,44.6603148,-1.1648341
Dalongzhan,China,29.201587,111.755127
Kunwi,South Korea,36.23472,128.57278
Krasnyy Oktyabr’,Russia,55.830186,37.4457899
Gangkoujie,China,29.724842,115.788192
Xishanzui,China,40.634244,108.893327
Guayatá,Colombia,4.968157,-73.490098
Aţ Ţīrah,Palestinian Territory,31.87022,35.12682
Cisalakdesa,Indonesia,-6.7686246,107.7517775
Toledo,United States,41.6615259,-83.6861485
Burrel,Albania,41.6089452,20.006257
Seaton,United Kingdom,52.574095,-0.672296
Tullyallen,Ireland,53.7369009,-6.4241156
Cieurih Satu,Indonesia,-6.9667234,108.6699011
Da’an,China,45.506995,124.292626
Jincheng,China,35.490701,112.851831
Bianba,China,30.933652,94.7078
Butiá,Brazil,-30.1180899,-51.9615457
Jinqiao,China,31.266133,121.611248
Villa Ángela,Argentina,-27.582369,-60.713149
Margen,Philippines,11.0181098,124.5298181
Itapuí,Brazil,-22.2275469,-48.7379527
Padangpanjang,Indonesia,-0.4660955,100.3984148
Fuyo,South Korea,44.9857216,126.0278163
Nässjö,Sweden,57.7272213,14.7410285
Bila,Bosnia and Herzegovina,43.7764262,16.9261199
Borne Sulinowo,Poland,53.5760481,16.5355185
Shuiting,China,26.5807374,106.7152864
Desakolot,Indonesia,-7.2536471,107.8954131
Sísion,Greece,35.3085456,25.5207204
Xianchiyu,China,29.46392,110.4714
Pakusari,Indonesia,-8.1677158,113.7751826
Bodø,Norway,67.2929841,14.587686
Baisha,China,26.641315,100.222545
Seremban,Malaysia,2.7239834,101.9476452
Jingping,China,23.365556,116.70345
Libertad,Mexico,19.4779768,-99.1771001
Kinnegad,Ireland,53.806868,-9.1327273
Pontarlier,France,46.907884,6.3333882
Łodygowice,Poland,49.7289952,19.1538281
Fengshan,China,24.546876,107.04219
Candelária,Brazil,-29.7132471,-52.8312661
Linamon,Philippines,8.1818348,124.147545
Lakshmīpur,Bangladesh,23.3567159,90.7942665
Beixiaoying,China,40.199887,116.728714
Novyy Urgal,Russia,51.0722125,132.6007578
Kradinan,Indonesia,-7.7995142,111.5438491
Baikouquan,China,45.895779,85.349613
Hrvace,Croatia,43.7563619,16.6204644
Reisjärvi,Finland,63.6045211,24.9388982
Maastricht,Netherlands,50.8493216,5.7114171
Al Fandaqūmīyah,Palestinian Territory,32.3206,35.20329
Balrothery,Ireland,53.5879156,-6.1884248
Karangbaru,Indonesia,4.3378413,98.0717968
Cerenti,Indonesia,-0.4960508,101.866362
Ngrayun,Indonesia,-8.0888877,111.4514369
Tetandara,Indonesia,-8.8795811,121.656829
Naudero,Pakistan,27.7537155,68.4470397
Babakanbandung,Indonesia,-6.205673,106.3081194
Dalubian,China,25.526986,112.615815
Yiyang,China,28.55386,112.35518
Shabqadar,Pakistan,34.2211097,71.6276159
Châtellerault,France,46.8179207,0.5465548
Kalkal Barat,Indonesia,-6.9965,112.8193
Hengdaohezi,China,44.043297,129.359811
Dranoc,Kosovo,50.6573133,14.7389618
Pangguang,China,31.3657303,121.3729026
Jedlina-Zdrój,Poland,50.71966,16.345569
Kotel,Bulgaria,42.8867657,26.44965
Kudang,Indonesia,-7.0345626,107.9836107
Le Perreux-sur-Marne,France,48.8348801,2.5070548
Kuaidamao,China,41.676243,125.769983
Haugesund,Norway,59.412262,5.2978064
Ziroudani,Comoros,-12.3325,43.7775
Ţawr al Bāḩah,Yemen,13.18179,44.29966
La Colorada,Panama,8.0076463,-80.9815817
Ngromo,Indonesia,-7.9531596,111207
Caucaguita,Venezuela,10.4868673,-66.739712
Jiangtian,China,43.635681,125.5851039
Rimbo,Sweden,59.7394596,18.3595793
Niort,France,46.1839042,-0.4738335
Habingkloang,Indonesia,-8.6981,122247
Spas,Ukraine,48.4474111,25.0435007
Grekan,Albania,40.9279942,19.9481973
Berlin,Germany,52.5170826,13.3236611
Linjiang,China,41.811979,126.918087
Pobé,Benin,6.9832415,2.6636066
Fangshan,China,39.749144,116.143267
Ornontowice,Poland,50.1934213,18.7546431
Datuan,China,37.11671,122.307942
Karangturi,Indonesia,-6.9895044,110.4329118
Longfeng,China,46.562247,125.1353261
Kourou,French Guiana,5.1677581,-52.6449937
Sabaneta,Dominican Republic,18.8104433,-71.2236939
Nürnberg,Germany,49.4904742,11.0986834
Fasito‘outa,Samoa,-13.8117019,-171.940524
Itabaianinha,Brazil,-11.2750411,-37.7879303
Liborina,Colombia,6.67745,-75.811744
Naga,Philippines,14.6592829,121.0483527
Ash Shaḩānīyah,Qatar,25.4106386,51.1846025
Hualin,China,44.691336,129.696957
Sundbyberg,Sweden,59.3586958,17.9687559
La Seyne-sur-Mer,France,43.1147983,5.8567016
Manjiang,China,41.949852,127.596645
Janakpur,Nepal,26.7271466,85.9406745
Villa Concepción del Tío,Argentina,-31.3224313,-62.813111
Charlotte,United States,35.3328119,-80.817935
Port-de-Paix,Haiti,19.9348887,-72.8308692
Barrosas,Portugal,41.3395549,-8.2519171
Viljakkala,Finland,61.7016711,23.2638837
Sychëvo,Russia,55.9576019,36.2249059
Xinmin,China,41.985186,122.836723
Independencia,Mexico,19.3803931,-99.1476908
Mawlamyine,Myanmar,16.4543173,97.6439611
Minante Segundo,Philippines,16.9022,121.76191
Codoi,China,30.466314,92.55497
Vista Hermosa,Panama,8.9990207,-79.5217021
Yeniköy,Turkey,38.408587,28.385948
Tete,Mozambique,-16.1328104,33.6063855
Pereslavl’-Zalesskiy,Russia,56.7391033,38.8533938
La Victoria,Mexico,23.7369164,-99.1411154
Sosnovka,Russia,54.1347287,33.2921685
Darvi,Mongolia,46.4695205,94.0976021
Evansville,United States,38.03,-87.58
Bao’an,China,22.555259,113.884019
Shilovo,Russia,54.3266413,40.8909987
